WW00859323800	US WB  00853 00			AMERICAN IDIOT (ALBUM VERSION)				
WW00136881400	US WB  00853 00			SHOPLIFTER (NON-ALBUM TRACK)				
WW00136886200	US WB  00853 00			GOVERNATOR (NON-ALBUM TRACK)				
WW00119974600	US WB  00853 00			TOO MUCH TOO SOON (NON-ALBUM TRACK)				
WW00859323800	US WB  00853 00			AMERICAN IDIOT				
WW00109843100	US WB  00853 00			NICE GUYS FINISH LAST				
WW00860357200	US WB  00853 00			JESUS OF SUBURBIA (ALBUM VERSION)				
WW00860075800	US WB  00853 00			HOLIDAY				
WW00860355300	US WB  00853 00			BOULEVARD OF BROKEN DREAMS				
WW00860355400	US WB  00853 00			ARE WE THE WAITING				
WW00860355500	US WB  00853 00			ST. JIMMY				
WW00860355600	US WB  00853 00			GIVE ME NOVACAINE				
WW00860355700	US WB  00853 00			SHE'S A REBEL				
WW00860355800	US WB  00853 00			EXTRAORDINARY GIRL				
WW00860355900	US WB  00853 00			LETTERBOMB				
WW00860267000	US WB  00853 00			WAKE ME UP WHEN SEPTEMBER ENDS				
WW00860455200	US WB  00853 00			HOMECOMING (ALBUM VERSION)				
WW00860356100	US WB  00853 00			WHATSERNAME (ALBUM VERSION)				
WW00864569900	US WB  00853 00			FAVORITE SON (NON-ALBUM TRACK)				
WW00859323800	US WB  00853 00			AMERICAN IDIOT				
WW00859323800	US WB  00853 00			AMERICAN IDIOT				
WW00860075800	US WB  00853 00			HOLIDAY/BOULEVARD OF BROKEN DREAMS (ALBUM VERSION)				
WW00860355400	US WB  00853 00			ARE WE THE WAITING/ST. JIMMY (ALBUM VERSION)				
WW00860355600	US WB  00853 00			GIVE ME NOVACAINE/SHE'S A REBEL (ALBUM VERSION)				
WW00860355800	US WB  00853 00			EXTRAORDINARY GIRL/LETTERBOMB (ALBUM VERSION)				
WW00859323800	US WB  00853 00			AMERICAN IDIOT				
WW00109844800	US WB  00853 00			GOOD RIDDANCE     (TIME OF YOUR LIFE)				
WW00114742800	US WB  00853 00			WAITING				
WW00114741900	US WB  00853 00			WARNING				
WW00132939800	US WB  00853 00			BASKET CASE				
WW00134975100	US WB  00853 00			BRAIN STEW				
WW00109844800	US WB  00853 00			GOOD RIDDANCE     (TIME OF YOUR LIFE)				
WW00132939500	US WB  00853 00			LONGVIEW				
WW00132939900	US WB  00853 00			SHE				
WW00132939900	US WB  00853 00			SHE				
WW00132939600	US WB  00853 00			WELCOME TO PARADISE				
WW00132940100	US WB  00853 00			WHEN I COME AROUND				
WW00134973900	US WB  00853 00			ARMATAGE SHANKS				
WW00134975100	US WB  00853 00			BRAIN STEW				
WW00134975200	US WB  00853 00			JADED				
WW00132939900	US WB  00853 00			SHE				
WW00134975500	US WB  00853 00			WALKING CONTRADICTION				
WW00114741900	US WB  00853 00			WARNING				
WW00860355400	US WB  00853 00			ARE WE THE WAITING				
WW00860355300	US WB  00853 00			BOULEVARD OF BROKEN DREAMS				
WW00860355600	US WB  00853 00			GIVE ME NOVACAINE				
WW00860075800	US WB  00853 00			HOLIDAY				
WW00860455200	US WB  00853 00			HOMECOMING				
WW00860357200	US WB  00853 00			JESUS OF SUBURBIA				
WW00860355700	US WB  00853 00			SHE'S A REBEL				
