1260680	1077655	21885	USRE10390008	ISRC	She - Chorus	Audio	Sound Recording (Music Work)	Mastertone	Rock	000:00:20	Reprise
1260685	1077655	21885	USRE10390009	ISRC	She - Verse	Audio	Sound Recording (Music Work)	Mastertone	Rock	000:00:20	Reprise
1373263	1077655	21881	USRE10401284	ISRC	American Idiot	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1381758	1077655	21885	USRE10401347	ISRC	Basket Case	Audio	Sound Recording (Music Work)	Mastertone	Pop	000:00:30	Reprise
1381776	1077655	21865	USRE10401348	ISRC	Brain Stew	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1381779	1077655	21884	USRE10401349	ISRC	Good Riddance (Time Of Your Life)	Audio	Sound Recording (Music Work)	Mastertone	Pop	000:00:30	Reprise
1381782	1077655	21885	USRE10401350	ISRC	Longview	Audio	Sound Recording (Music Work)	Mastertone	Rock	000:00:30	Reprise
1381788	1077655	21885	USRE10401351	ISRC	She	Audio	Sound Recording (Music Work)	Mastertone	Rock	000:00:30	Reprise
1381791	1077655	21885	USRE10401352	ISRC	She (Intro)	Audio	Sound Recording (Music Work)	Mastertone	Rock	000:00:30	Reprise
1381794	1077655	21885	USRE10401353	ISRC	Welcome To Paradise	Audio	Sound Recording (Music Work)	Mastertone	Rock	000:00:30	Reprise
1381797	1077655	21885	USRE10401354	ISRC	When I Come Around	Audio	Sound Recording (Music Work)	Mastertone	Rock	000:00:30	Reprise
1389710	1077655	21881	USRE10401408	ISRC	Are We The Waiting	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389714	1077655	21881	USRE10401409	ISRC	Boulevard Of Broken Dreams	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389718	1077655	21881	USRE10401410	ISRC	Extraordinary Girl	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389723	1077655	21881	USRE10401411	ISRC	Give Me Novacaine	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389727	1077655	21881	USRE10401412	ISRC	Holiday	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389731	1077655	21881	USRE10401413	ISRC	Homecoming	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389735	1077655	21881	USRE10401414	ISRC	Jesus Of Suburbia	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389739	1077655	21881	USRE10401415	ISRC	Letterbomb	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389743	1077655	21881	USRE10401416	ISRC	She's A Rebel	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389749	1077655	21881	USRE10401417	ISRC	St. Jimmy	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389754	1077655	21881	USRE10401418	ISRC	Wake Me Up When September Ends	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389760	1077655	21881	USRE10401420	ISRC	Whatsername	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1389769	1077655	21883	USRE10401419	ISRC	Warning	Audio	Sound Recording (Music Work)	Mastertone	Rock	000:00:30	Reprise
1439737	1077655	21881	USRE10500155	ISRC	Holiday (MTV Edit)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1535441	1077655	21883	USRE10500921	ISRC	Minority	Audio	Sound Recording (Music Work)	Mastertone	Rock	000:00:30	Reprise
1563718	1077655	21881	USRE10501199	ISRC	Wake Me Up When September Ends (Live at Foxboro, MA 9/3/05)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582646	1077655	21881	USRE10501360	ISRC	Jesus Of Suburbia (Dearly Beloved)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582650	1077655	21881	USRE10501362	ISRC	Jesus Of Suburbia (I Don't Care)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582654	1077655	21881	USRE10501358	ISRC	Wake Me Up When September Ends (Alternate)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
1582658	1077655	21881	USRE10501356	ISRC	Homecoming (Nobody Likes You)	Audio	Sound Recording (Music Work)	Mastertone	Alternative Rock	000:00:30	Reprise
