1819634	1077655		0093624639725	UPC	Bowling Bowling Bowling Packing Parking	Audio	Album	Album	CD 5-inch	Pop	1/1/1996	Reprise
1758627	1077655		0093624639626	UPC	Bowling Bowling Bowling Parking Parking EP	Audio	Album	Album	CD 5-inch	Pop	1/1/1996	Reprise
1753803	1077655		0093624639640	UPC	Bowling Bowling Bowling Parking Parking EP	Audio	Album	Album	Tape Cassette	Pop	1/1/1996	Reprise
1763876	1077655		0054391716125	UPC	Time Of Your Life (Good Riddance)	Audio	Single	Single	CD 5-inch	Pop	1/1/1997	Reprise
1797777	1077655		0093624394525	UPC	Hitchin' A Ride (International Release)	Audio	Single	Single	CD	Pop	10/6/1997	Reprise
1765223	1077655	21884	0093624679424	UPC	Nimrod (U.S. Version)	Audio	Album	Album	CD 5-inch	Pop	10/14/1997	Reprise
1817930	1077655	21884	0093624679448	UPC	Nimrod (U.S. Version)	Audio	Album	Album	Tape Cassette	Pop	10/14/1997	Reprise
1556133	1077655	21884	A10302B00000338850	GRID	Prosthetic Head (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556155	1077655	21884	A10302B00000338745	GRID	All The Time (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556157	1077655	21884	A10302B00000338753	GRID	Worry Rock (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556128	1077655	21884	A10302B00000338809	GRID	Haushinka (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556154	1077655	21884	A10302B00000338737	GRID	Scattered (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556158	1077655	21884	A10302B00000338761	GRID	Platypus (I Hate You) (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556159	1077655	21884	A10302B00000338770	GRID	Uptight (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556132	1077655	21884	A10302B00000338841	GRID	King For A Day (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556131	1077655	21884	A10302B00000338833	GRID	Take Back (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556129	1077655	21884	A10302B00000338817	GRID	Walking Alone (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556130	1077655	21884	A10302B00000338825	GRID	Reject (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556153	1077655	21884	A10302B00000338729	GRID	The Grouch (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
1556127	1077655	21884	A10302B0000033879W	GRID	Jinx (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	10/14/1997	Reprise
