6234200	1011376	2918237	1	1	1
6234201	1011376	2918239	1	1	2
6234203	1011376	2918241	1	1	3
6234202	1011376	2918251	1	1	4
6234199	1011376	2918281	1	1	5
6234198	1011376	2918282	1	1	6
6234197	1011376	2918283	1	1	7
6234210	1011376	2918285	1	2	8
6234208	1011376	2918286	1	2	9
6234214	1011376	2918287	1	2	10
6234212	1011376	2918291	1	2	11
6234211	1011376	2918292	1	2	12
6234213	1011376	2918305	1	2	13
6234209	1011376	2918307	1	2	14
3447933	1014264	2002379	1	1	1
2177801	1014265	2002378	1	1	1
1996472	1014266	2002377	1	1	1
3728883	1056243	1885853	1	1	1
3106982	1056245	1885857	1	1	1
3475602	1056246	1885859	1	1	1
1459151	1056247	1885861	1	1	1
3705114	1056248	1885863	1	1	1
2532880	1056249	1885865	1	1	1
2960998	1056250	1885867	1	1	1
3612137	1056251	1885869	1	1	1
1647391	1056252	1885871	1	1	1
2658053	1056253	1885873	1	1	1
1497741	1056254	1885875	1	1	1
2259383	1056255	1885877	1	1	1
3533582	1056256	1885841	1	1	1
1016877	1056257	1885843	1	1	1
1848823	1056258	1885845	1	1	1
3324948	1056259	1885847	1	1	1
2444667	1056260	1885849	1	1	1
2455446	1056261	1885851	1	1	1
3946015	1056262	1885879	1	1	1
2821488	1056263	1885881	1	1	1
3586965	1056264	1885883	1	1	1
2596894	1056265	1885885	1	1	1
2708626	1056266	1885887	1	1	1
2487021	1056267	1885889	1	1	1
3601598	1056268	1885891	1	1	1
3085898	1056269	1885893	1	1	1
2715760	1056270	1885895	1	1	1
2799154	1056271	1885897	1	1	1
2838018	1056272	1885899	1	1	1
1016878	1056273	1885901	1	1	1
1537386	1056274	1885903	1	1	1
1635388	1056275	1885905	1	1	1
3747237	1056276	1885907	1	1	1
2244137	1056278	1885855	1	1	1
1016903	1056291	1885839	1	1	1
1935344	1056315	1885871	1	1	1
1935362	1056315	1885873	1	1	2
1935346	1056315	1885875	1	1	3
1935347	1056315	1885877	1	1	4
1935348	1056315	1885879	1	1	5
1935349	1056315	1885881	1	1	6
1935350	1056315	1885883	1	1	7
1935351	1056315	1885885	1	1	8
1935352	1056315	1885887	1	1	9
1935353	1056315	1885889	1	1	10
1935354	1056315	1885891	1	1	11
1935355	1056315	1885893	1	1	12
1935356	1056315	1885895	1	1	13
1935357	1056315	1885897	1	1	14
1935358	1056315	1885899	1	1	15
1935359	1056315	1885901	1	1	16
1935360	1056315	1885903	1	1	17
1935361	1056315	1885905	1	1	18
1935345	1056315	1885907	1	1	19
1905582	1056316	1885839	1	1	1
1905597	1056316	1885841	1	1	2
1905584	1056316	1885843	1	1	3
1905585	1056316	1885845	1	1	4
1905586	1056316	1885847	1	1	5
1905587	1056316	1885849	1	1	6
1905588	1056316	1885851	1	1	7
1905589	1056316	1885853	1	1	8
1905590	1056316	1885855	1	1	9
1905591	1056316	1885857	1	1	10
1905592	1056316	1885859	1	1	11
1905593	1056316	1885861	1	1	12
1905594	1056316	1885863	1	1	13
