1002703	Baixo
1002704	Bajo Sexto
1002705	Balafon
1002706	Balalaika
1002707	Band
1002708	Bandura
1002709	Bandurria
1002710	Bansuri
1002725	Bass Balalaika
1002726	Bass Pedals
1002727	Bass Station
1002728	Bata
1002729	Batterie
1002730	Bayan
1002731	Beatbox
1002732	Bendhir
1002733	Big Band
1002734	Block
1002735	Bombarde Bretonne
1002736	Bombo
1002737	Bontempi
1002745	Boogie Box
1002746	Bottles
1002747	Bowed
1002748	Bowed Gong
1002749	Boy Alto
1002750	Boy Treble Soloist
1002751	Boys
1002794	Coach
1002795	Co-Composer
1002796	Colour Correction
1002797	Composition
1002798	Compuestopor
1002799	Computer
1002800	Concert
1002801	Continuo
1002802	Contra
1002803	Coordinator
1002804	Coprophone
1002805	Côro Copacabana
1002806	Cow
1002807	Craviola
1002808	Created
1002809	Creative
1002810	Cruche
1002811	Cuatro Venezuelano
1002812	Cuica
1002813	Cumbus
1002814	Cuts
1002885	Cymbals Overdubs
1002886	Daff
1002887	D'amore
1002888	Darabukka
1002889	Darbouka
1002890	Dboki
1002891	Decks
1002892	Derbouka
1002893	Dholak
1002894	Dicaphone
1002895	Dida
1002896	Digital
1002897	Direction Assistant
1002898	'Dirty' Loop
1002899	Dizi
1002900	Doepfer
1002901	Dog Alto
1002902	Doira
1002903	Donzo N'goni
1002904	Doorbells
1002905	Double
1002906	Doudouk
1002907	Drano
1002908	Dranyem
1002909	Drone Treatments
1002910	Drones
1002911	Drum
1002912	Dub Organiser
1002913	DVD
1002914	DVD Audio
1002915	DVD Compression
1002916	Farfisa
1002917	Finger
1002918	Gaita
1002919	Güira
1002920	Guiro
1002921	Hammer
1002922	Hammond B3
1002923	Hand
1002924	Harmonised
1002925	Hit
1002926	Hoddu
1002927	Hosepipe
1002965	Hubcapaphone
1002966	Idu
1002967	Ilimba
1002968	Illumination
1002969	Infrasound
1002970	Inspiration
1002971	Instrument
1002972	Jan-Blok
1002973	Jarana
1002974	Jembe
1002975	Jenbe
1002976	Jug
1002977	Juggles
1002978	Juno
1002979	Jupiter
1002980	Kachichi
1002981	Kalimba
1002982	Kaliuka
1002983	Kanjira
1002984	Kanoun
1002985	Kawala
1002986	Knuckles
1002987	Kobuz
1002988	Komok
1002989	Konun
1002990	Kooky Shit
1002991	Kora
1002992	Korg
1002993	Ku-cheng
1002994	Kurzweil
1002995	Laptop
1002996	Latin
1002997	Lead
1003025	Leona
1003045	Lirone
1003046	Live
1003065	Live Effects
1003066	Local Lyrics
1003067	Logic
1003068	Lowrey
1003069	Machine
1003070	Madal
1003071	Madeiras
1003085	Mandolele
1003105	Mandolino
1003106	Maracas
1003107	Mariachi
1003108	Marimbaphone
1003109	Marxophone
1003125	Mazhar
1003126	MD
1003127	Megamix Mix
1003128	Megaphone
1003129	Mezmar
1003130	Mid Section Bass
1003131	Miniature
1003132	Mix Down
1003145	Mizmar
1003146	Mohan Veena
1003147	Morsing
1003148	Moule
1003149	Mouth
1003165	Mridangam
1003166	Music Box
1003167	Music Series
1003185	Musical
1003186	Nay
1003187	Ney
1003188	N'goni
1003189	Noan
1003190	NULL
1003205	Nyatiti
1003206	Oberheim
1003207	Ocarina
1003208	Omnichord
1003209	Operatics
1003225	Optigon
1003226	Orchestral Contractor
1003227	Orchestral Director
1003228	Orchestral Fixer
1003245	Orpharion
1003246	Oud
1003247	Outro
1003248	Overdubs
1003249	Overdubs Assistant
1003250	Pad
1003265	Pakhawaj
1003266	Palmas
1003267	Palos De Txalaparta
1003268	Pandeiro
1003269	Papoose
1003270	Penny Owsley
1003271	Photography
1003272	Pianet
1003273	Piccolo Bongos
1003274	Pipa
1003275	Pizzicato
1003276	Plastic Tube
1003277	Polymoog
1003278	Pots and Pans
1003279	Premix
1003285	Rolling
1003286	Ruined
1003287	Sabar
1003288	Safâra
1003305	Sampo
1003306	Santoor
1003325	Sarangi
1003326	Sarod
1003327	Sato
1003328	Score
1003345	Pre-Production
1003346	Processing
1003347	Project
1003348	Prompt
1003349	Prophet
1003385	Pump
